STOPABBR;STOPNAME;LATITUDE;LONGITUDE
"34544";"Pecos Junction Station Track 1";39.805346;-105.005393
"34558";"41st & Fox Station Track 1";39.773673;-104.996885
"34559";"41st & Fox Station Track 2";39.773021;-104.996992
"34560";"Westminster Station S-Bound";39.82239;-105.028733
"34561";"Westminster Station N-Bound";39.823078;-105.029428
"34574";"Iliff Station";39.673649;-104.826472
"34575";"Iliff Station";39.672974;-104.827232
"34577";"Florida Station";39.690358;-104.82847
"34578";"Florida Station";39.689534;-104.828474
"34579";"Aurora Metro Center Station";39.708951;-104.818993
"34580";"Aurora Metro Center Station";39.70843;-104.819136
"34581";"2nd & Abilene Station";39.719781;-104.825491
"34582";"2nd & Abilene Station";39.71895;-104.825879
"34583";"13th Ave Station";39.735376;-104.823497
"34584";"13th Ave Station";39.73446;-104.82369
"34585";"Colfax Station";39.740689;-104.826999
"34586";"Colfax Station";39.739748;-104.826916
"34587";"Fitzsimons Station";39.755008;-104.840933
"34588";"Fitzsimons Station";39.754789;-104.839819
"34693";"Commuter Rail Maintenance Facility South End";39.784485;-104.99613
"34744";"Peoria Station";39.767176;-104.849977
"34745";"Peoria Station";39.767391;-104.851022
"34746";"Peoria Tail Tracks";39.767389;-104.852078
"34780";"Union Station Track 6";39.754296;-104.999893
"34781";"Union Station Track 7";39.753772;-105.000812
"34782";"Union Station Track 8";39.753838;-105.000962
"34904";"Mariposa Yard";39.726768;-105.003664
"35204";"Sky Ridge Station";39.532059;-104.870263
"35205";"Sky Ridge Station";39.532536;-104.870481
"35207";"Lone Tree City Center Station";39.527318;-104.863268
"35209";"Lone Tree City Center Station";39.528022;-104.863143
"35211";"Ridgegate Parkway Station";39.520244;-104.865725
"35212";"Ridgegate Parkway Station";39.520791;-104.86521
"35266";"16th & Stout Station {Lv}";39.746121;-104.99284
"50101";"Union Station Tail Tracks";39.756166;-105.002369
"50104";"Union Station Tail Tracks";39.756158;-105.00242
"50105";"Mineral Tail Tracks";39.578781;-105.025718
"99760";"Mariposa Division";39.727125;-105.004027
"99761";"East Loop Turnaround";39.748347;-104.988924
"99772";"CPV Junction";39.739604;-105.006839
"99779";"Mariposa Division";39.727163;-105.004142
